file	line	occurrence_text	bucket	action
tests/phase-08/test_wizard_index_md.sh	31	"wiki/index.md"" ""Deci"	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_index_md.sh	33	"wiki/index.md"" ""Deci"	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_index_md.sh	35	"wiki/index.md"")"""	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_index_md.sh	47	"wiki/index.md"" <<'EO"	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_index_md.sh	78	"wiki/index.md"")"""	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_index_md.sh	81	"wiki/index.md"")"""	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_index_md.sh	91	"wiki/index.md"" <<'EO"	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	4	wiki/index.md with T	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	21	"wiki/decisions"""	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	27	wiki/index.md with T	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	28	"wiki/index.md"" <<'EO"	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	96	wiki/decisions/ shou	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	97	"wiki/decisions/""dr-*"	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	98	wiki/decisions/dr-*-	1-cloud	wiki-cloud/
tests/phase-08/test_wizard_partial_failure.sh	99	"wiki/decisions/"" >&2"	1-cloud	wiki-cloud/
tests/phase-09/test_annotation_shim.sh	12	"wiki/x.md"",""line"":5,"	1-cloud	wiki-cloud/
tests/phase-09/test_annotation_shim.sh	15	"wiki/x.md"" \"	1-cloud	wiki-cloud/
tests/phase-09/test_annotation_shim.sh	16	"wiki/x.md in: $OUT"""	1-cloud	wiki-cloud/
tests/phase-09/test_annotation_shim.sh	21	"wiki/y.md"",""message"""	1-cloud	wiki-cloud/
tests/phase-09/test_annotation_shim.sh	24	"wiki/y.md"" \"	1-cloud	wiki-cloud/
